rec_art,onrp,bfsnr,plz_typ,postleitzahl,plz_zz,plz6,gplz,ortbez18,ortbez27,kanton,sprachcode,sprachcode_abw,briefz_durch,gilt_ab_dat,plz_briefzust,plz_coff
1,5736,198,20,8614,2,861402,8614,Sulzbach,Sulzbach,ZH,1,,8078,02.08.96,860660,J
1,5764,2044,20,1534,2,153402,1534,Chapelle (Broye),Chapelle (Broye),FR,2,,726,04.09.96,153200,J
1,105,5586,80,1000,1,100001,1000,Lausanne 1 Dépôt,Lausanne 1 Dépôt,VD,2,,130,01.04.05,100060,
1,107,5586,80,1000,3,100003,1000,Lausanne 3,Lausanne 3,VD,2,,130,21.05.86,100060,
1,110,5586,80,1000,6,100006,1000,Lausanne Ouchy,Lausanne Ouchy,VD,2,,130,10.02.93,100060,
1,112,5586,80,1000,8,100008,1000,Lausanne Bellevaux,Lausanne Bellevaux,VD,2,,130,20.05.97,100060,
1,121,5586,80,1000,21,100021,1000,Lausanne Grangette,Lausanne Grangette,VD,2,,130,21.05.86,100060,
1,123,5586,80,1000,23,100023,1000,Lausanne Bourdon.,Lausanne Bourdonnette,VD,2,,130,27.06.91,100060,
1,125,5586,20,1000,25,100025,1000,Lausanne 25,Lausanne 25,VD,2,,130,01.03.88,100060,J
1,126,5586,10,1000,26,100026,1000,Lausanne 26,Lausanne 26,VD,2,,130,21.05.86,100060,J
1,127,5586,20,1000,27,100027,1000,Lausanne 27,Lausanne 27,VD,2,,130,28.07.97,100060,J
1,145,5586,30,1001,1,100101,1000,Lausanne,Lausanne,VD,2,,145,18.03.98,100101,
1,151,5586,20,1004,0,100400,1000,Lausanne,Lausanne,VD,2,,130,21.05.86,100060,J
1,157,5590,10,1009,0,100900,1009,Pully,Pully,VD,2,,130,10.06.96,100060,J
1,163,5635,20,1015,0,101500,1000,Lausanne,Lausanne,VD,2,,130,10.02.92,100060,J
1,164,5586,20,1018,0,101800,1000,Lausanne,Lausanne,VD,2,,130,01.03.88,100060,J
1,165,5591,20,1020,0,102000,1020,Renens VD,Renens VD,VD,2,,7248,03.12.91,102060,J
1,168,5627,10,1022,0,102200,1022,Chavannes-Renens,Chavannes-près-Renens,VD,2,,7248,10.06.96,102060,J
1,170,5635,10,1024,0,102400,1024,Ecublens VD,Ecublens VD,VD,2,,7172,21.05.86,102360,J
1,171,5648,10,1025,0,102500,1025,St-Sulpice VD,St-Sulpice VD,VD,2,,174,21.05.86,102700,J
1,174,5638,20,1027,0,102700,1027,Lonay,Lonay,VD,2,,174,27.04.93,102700,J
1,179,5592,10,1032,0,103200,1032,Romanel-s-Lausanne,Romanel-sur-Lausanne,VD,2,,7497,08.09.99,103360,J
1,182,5521,10,1037,0,103700,1037,Etagnières,Etagnières,VD,2,,7497,06.08.96,103360,J
1,183,5512,10,1038,0,103800,1038,Bercher,Bercher,VD,2,,183,21.05.86,103800,J
1,192,5529,20,1377,0,137700,1377,Oulens-Echallens,Oulens-sous-Echallens,VD,2,,7670,21.05.86,104060,J
1,201,5514,20,1041,33,104133,1041,Bottens,Bottens,VD,2,,7670,21.05.86,104060,J
1,202,5515,20,1053,2,105302,1053,Bretigny-Morrens,Bretigny-sur-Morrens,VD,2,,7650,21.05.86,105260,J
1,205,5473,20,1034,0,103400,1034,Boussens,Boussens,VD,2,,7171,29.05.88,103060,J
1,206,5472,20,1035,0,103500,1035,Bournens,Bournens,VD,2,,7171,18.08.98,103060,J
1,210,5522,20,1044,0,104400,1044,Fey,Fey,VD,2,,183,29.05.88,103800,J
1,211,5680,20,1045,0,104500,1045,Ogens,Ogens,VD,2,,183,29.05.88,103800,J
1,212,5903,20,1407,4,140704,1407,Bioley-Magnoux,Bioley-Magnoux,VD,2,,6257,01.06.00,140060,J
1,219,5693,10,1410,0,141000,1410,Thierrens,Thierrens,VD,2,,7661,01.06.89,151060,J
1,237,5693,20,1063,0,106300,1063,Chapelle-s-Moudon,Chapelle-sur-Moudon,VD,2,,7661,18.08.89,151060,J
1,238,5693,20,1410,5,141005,1410,St-Cierges,St-Cierges,VD,2,,7661,29.05.88,151060,J
1,241,5792,10,1081,0,108100,1081,Montpreveyres,Montpreveyres,VD,2,,243,29.05.88,108800,J
1,245,5803,20,1085,0,108500,1085,Vulliens,Vulliens,VD,2,,8365,29.05.88,160760,J
1,246,5692,20,1509,0,150900,1509,Vucherens,Vucherens,VD,2,,7661,29.05.88,151060,J
1,248,5806,20,1076,0,107600,1076,Ferlens VD,Ferlens VD,VD,2,,8365,08.05.96,160760,J
1,250,5805,20,1078,0,107800,1078,Essertes,Essertes,VD,2,,8365,29.05.88,160760,J
1,256,5642,30,1110,2,111002,1110,Morges 2,Morges 2,VD,2,,256,21.05.86,111002,
1,259,5634,10,1112,0,111200,1112,Echichens,Echichens,VD,2,,174,29.05.88,102700,J
1,262,5649,10,1131,0,113100,1131,Tolochenaz,Tolochenaz,VD,2,,8008,01.03.01,116260,J
1,263,5634,20,1125,0,112500,1125,Monnaz,Monnaz,VD,2,,174,29.05.88,102700,J
1,264,5650,20,1126,0,112600,1126,Vaux-sur-Morges,Vaux-sur-Morges,VD,2,,290,18.06.92,114300,J
1,265,5629,20,1127,0,112700,1127,Clarmont,Clarmont,VD,2,,290,28.06.89,114300,J
1,270,5656,20,1116,0,111600,1116,Cottens VD,Cottens VD,VD,2,,290,29.05.88,114300,J
1,281,5656,20,1136,0,113600,1136,Bussy-Chardonney,Bussy-Chardonney,VD,2,,290,06.08.96,114300,J
1,286,5431,20,1146,0,114600,1146,Mollens VD,Mollens VD,VD,2,,290,29.05.88,114300,J
1,287,5492,20,1147,0,114700,1147,Montricher,Montricher,VD,2,,290,29.05.88,114300,J
1,288,5656,20,1142,0,114200,1142,Pampigny,Pampigny,VD,2,,290,29.05.88,114300,J
1,290,5656,10,1143,0,114300,1143,Apples,Apples,VD,2,,290,21.05.86,114300,J
