"Variable","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","N","Percent","Test"
"... 8212","30","0","32","0","26","0","37","0.001","28","0","32","0","37","0.001",""
"... 8213","2","0","8","0","2","0","5","0","6","0","6","0","5","0",""
"... 8214","0","0","1","0","3","0","1","0","0","0","0","0","0","0",""
"... 8215","2","0","3","0","9","0","3","0","3","0","6","0","5","0",""
"... 8217","1","0","1","0","2","0","1","0","3","0","0","0","0","0",""
"... 8219","0","0","0","0","0","0","2","0","0","0","0","0","2","0",""
"... 8222","2","0","6","0","7","0","6","0","9","0","6","0","7","0",""
"... 8224","1","0","0","0","2","0","3","0","2","0","1","0","3","0",""
"... 8225","3","0","0","0","0","0","1","0","0","0","0","0","1","0",""
"... 8226","4","0","2","0","10","0","1","0","4","0","3","0","6","0",""
"... 8231","0","0","1","0","3","0","0","0","1","0","1","0","0","0",""
"... 8232","1","0","1","0","0","0","0","0","0","0","1","0","0","0",""
"... 8233","2","0","0","0","1","0","0","0","0","0","1","0","0","0",""
"... 8234","1","0","0","0","0","0","0","0","1","0","1","0","2","0",""
"... 8235","0","0","2","0","3","0","0","0","0","0","1","0","1","0",""
"... 8236","0","0","0","0","0","0","0","0","0","0","0","0","1","0",""
"... 8239","1","0","1","0","5","0","1","0","0","0","4","0","4","0",""
"... 8240","3","0","1","0","2","0","3","0","1","0","2","0","2","0",""
"... 8241","0","0","1","0","1","0","0","0","0","0","1","0","0","0",""
"... 8242","1","0","0","0","2","0","4","0","0","0","0","0","0","0",""
"... 8245","105","0.002","104","0.002","101","0.002","101","0.002","102","0.002","84","0.001","107","0.002",""
"... 8246","56","0.001","51","0.001","52","0.001","59","0.001","52","0.001","47","0.001","41","0.001",""
"... 8247","40","0.001","41","0.001","41","0.001","34","0.001","33","0","43","0.001","46","0.001",""
"... 8248","41","0.001","30","0","42","0.001","31","0","40","0.001","43","0.001","52","0.001",""
"... 8252","2","0","3","0","5","0","4","0","4","0","1","0","4","0",""
"... 8253","4","0","2","0","2","0","4","0","4","0","3","0","3","0",""
"... 8254","2","0","2","0","1","0","2","0","0","0","2","0","2","0",""
"... 8255","2","0","0","0","1","0","0","0","0","0","2","0","1","0",""
"... 8259","1","0","1","0","3","0","2","0","0","0","2","0","3","0",""
"... 8260","1","0","3","0","8","0","2","0","2","0","5","0","3","0",""
"... 8261","1","0","1","0","0","0","0","0","1","0","0","0","0","0",""
"... 8262","3","0","0","0","0","0","1","0","2","0","1","0","1","0",""
"... 8264","1","0","2","0","1","0","1","0","1","0","2","0","1","0",""
"... 8265","2","0","1","0","1","0","0","0","0","0","0","0","0","0",""
"... 8266","0","0","3","0","3","0","5","0","4","0","3","0","3","0",""
